Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Malaria, Cum 2018†","Malaria, Cum 2018†, flag","Measles§, Idigenousis, Current week","Measles§, Idigenousis, Current week, flag","Measles§, Idigenousis, Previous 52 weeks Max†","Measles§, Idigenousis, Previous 52 weeks Max†, flag","Measles§, Idigenousis, Cum 2019†","Measles§, Idigenousis, Cum 2019†, flag","Measles§, Idigenousis, Cum 2018†","Measles§, Idigenousis, Cum 2018†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Imported, Cum 2018†","Measles§, Imported, Cum 2018†, flag",Location 1,Location 2
IOWA,2019,3,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
UTAH,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NON-US RESIDENTS,2019,3,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
WISCONSIN,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
TENNESSEE,2019,3,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
IDAHO,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"IDAHO
(43.680635, -114.364237)",
WYOMING,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MIDDDLE ATLANTIC,2019,3,5,,24,,12,,21,,,-,9,,2,,,-,4,,16,,7,,1,,,MIDDDLE ATLANTIC
RHODE ISLAND,2019,3,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
DISTRICT OF COLUMBIA,2019,3,,-,2,,1,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MISSOURI,2019,3,1,,3,,1,,1,,,-,0,,,-,,-,,-,6,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
ARIZONA,2019,3,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MICHIGAN,2019,3,,-,3,,,-,1,,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NORTHERN MARIANA ISLANDS,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
EAST SOUTH CENTRAL,2019,3,,-,4,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL
CONNECTICUT,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
NEW JERSEY,2019,3,,-,6,,2,,7,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
PACIFIC,2019,3,,-,8,,1,,5,,,-,3,,,-,,-,,-,2,,2,,,-,,PACIFIC
OREGON,2019,3,,-,2,,,-,,-,,-,1,,,-,,-,,-,1,,1,,,-,"OREGON
(44.567912, -120.156945)",
US RESIDENTS,2019,3,10,,53,,23,,64,,,-,9,,2,,,-,5,,18,,10,,4,,,US RESIDENTS
US TERRITORIES,2019,3,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
ALABAMA,2019,3,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
PENNSYLVANIA,2019,3,2,,8,,3,,4,,,-,0,,,-,,-,,-,1,,1,,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
HAWAII,2019,3,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
HAWAII,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
ALASKA,2019,4,,-,1,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
NEW YORK CITY,2019,4,2,,11,,9,,10,,,-,9,,5,,,-,,-,2,,,-,,-,,NEW YORK CITY
TENNESSEE,2019,4,,-,2,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
DISTRICT OF COLUMBIA,2019,4,,-,2,,1,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MAINE,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
OKLAHOMA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
NEW ENGLAND,2019,4,1,,5,,3,,3,,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND
WEST SOUTH CENTRAL,2019,4,,-,5,,2,,2,,,-,5,,,-,5,,,-,1,,,-,2,,,WEST SOUTH CENTRAL
PENNSYLVANIA,2019,4,1,,8,,4,,6,,,-,0,,,-,,-,,-,1,,1,,1,,"PENNSYLVANIA
(40.789676, -77.858055)",
UTAH,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
RHODE ISLAND,2019,4,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
LOUISIANA,2019,4,,-,1,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
KANSAS,2019,4,,-,2,,1,,2,,,-,5,,,-,,-,,-,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
U.S. VIRGIN ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW JERSEY,2019,4,,-,6,,3,,8,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
TEXAS,2019,4,,-,5,,1,,,-,,-,5,,,-,5,,,-,1,,,-,1,,"TEXAS
(31.827233, -99.423022)",
GEORGIA,2019,4,,-,5,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
NORTH CAROLINA,2019,4,,-,4,,,-,3,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
COLORADO,2019,4,,-,3,,2,,2,,,-,0,,,-,,-,,-,1,,1,,,-,"COLORADO
(38.841772, -106.132562)",
ILLINOIS,2019,4,,-,4,,,-,3,,,-,1,,,-,,-,,-,1,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
MONTANA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
SOUTH ATLANTIC,2019,4,5,,21,,14,,27,,,-,3,,,-,,-,,-,3,,,-,,-,,SOUTH ATLANTIC
AMERICAN SAMOA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
IDAHO,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
CONNECTICUT,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
WEST NORTH CENTRAL,2019,4,,-,5,,3,,5,,,-,5,,,-,,-,,-,6,,,-,,-,,WEST NORTH CENTRAL
US TERRITORIES,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NORTH DAKOTA,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2019,4,,-,4,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
GUAM,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
FLORIDA,2019,4,,-,4,,,-,3,,,-,3,,,-,,-,,-,2,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NON-US RESIDENTS,2019,4,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
US RESIDENTS,2019,4,10,,53,,48,,87,,,-,9,,5,,5,,1,,18,,12,,5,,,US RESIDENTS
NEW YORK,2019,4,,-,4,,2,,3,,,-,0,,,-,,-,,-,14,,6,,,-,"NEW YORK
(42.826892, -75.544286)",
MASSACHUSETTS,2019,4,1,,4,,3,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
MINNESOTA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WEST VIRGINIA,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
EAST SOUTH CENTRAL,2019,4,,-,4,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL
ARIZONA,2019,4,,-,5,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
MOUNTAIN,2019,4,,-,7,,2,,2,,,-,0,,,-,,-,,-,1,,1,,,-,,MOUNTAIN
VIRGINIA,2019,4,1,,5,,4,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
MARYLAND,2019,4,1,,9,,5,,14,,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
PACIFIC,2019,4,,-,8,,5,,9,,,-,3,,,-,,-,1,,3,,4,,,-,,PACIFIC
WISCONSIN,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
KENTUCKY,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
SOUTH CAROLINA,2019,4,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
IOWA,2019,4,,-,2,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
MICHIGAN,2019,4,,-,3,,,-,2,,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
WYOMING,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NORTHERN MARIANA ISLANDS,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ALABAMA,2019,4,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
NEBRASKA,2019,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEVADA,2019,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
SOUTH DAKOTA,2019,4,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MISSOURI,2019,4,,-,3,,1,,2,,,-,0,,,-,,-,,-,6,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
DELAWARE,2019,4,3,,2,,4,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
TOTAL,2019,4,10,,53,,48,,87,,,-,9,,5,,5,,1,,18,,12,,5,,,TOTAL
EAST NORTH CENTRAL,2019,4,1,,7,,1,,11,,,-,1,,,-,,-,,-,4,,,-,2,,,EAST NORTH CENTRAL
NEW HAMPSHIRE,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
INDIANA,2019,4,,-,1,,,-,2,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.76845, -86.156212)",
CALIFORNIA,2019,4,,-,5,,4,,5,,,-,3,,,-,,-,,-,2,,2,,,-,"CALIFORNIA
(37.640735, -121.002435)",
PUERTO RICO,2019,4,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
OREGON,2019,4,,-,2,,,-,1,,,-,1,,,-,,-,1,,1,,2,,,-,"OREGON
(44.567912, -120.156945)",
OHIO,2019,4,1,,4,,1,,4,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
MIDDDLE ATLANTIC,2019,4,3,,24,,18,,27,,,-,9,,5,,,-,,-,16,,7,,1,,,MIDDDLE ATLANTIC
ARKANSAS,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
VERMONT,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MISSISSIPPI,2019,4,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEW MEXICO,2019,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH ATLANTIC,2019,5,1,,21,,16,,32,,,-,3,,,-,,-,,-,3,,,-,,-,,SOUTH ATLANTIC
UTAH,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
NEW JERSEY,2019,5,,-,6,,5,,9,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2019,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
US RESIDENTS,2019,5,8,,53,,67,,116,,1,,9,,8,,7,,1,,18,,16,,6,,,US RESIDENTS
COLORADO,2019,5,,-,3,,2,,3,,,-,0,,,-,,-,,-,1,,1,,,-,"COLORADO
(38.841772, -106.132562)",
ALASKA,2019,5,,-,1,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
IDAHO,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
US TERRITORIES,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NEW HAMPSHIRE,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MINNESOTA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
ILLINOIS,2019,5,,-,4,,,-,4,,,-,1,,,-,,-,,-,1,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
PACIFIC,2019,5,1,,8,,9,,11,,1,,3,,1,,2,,,-,3,,4,,,-,,PACIFIC
GUAM,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH CAROLINA,2019,5,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
FLORIDA,2019,5,,-,4,,,-,3,,,-,3,,,-,,-,,-,2,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
KANSAS,2019,5,,-,2,,1,,2,,,-,5,,,-,,-,,-,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
INDIANA,2019,5,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2019,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
EAST SOUTH CENTRAL,2019,5,,-,4,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL
MISSOURI,2019,5,,-,3,,1,,2,,,-,0,,,-,,-,,-,6,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
NEW ENGLAND,2019,5,1,,5,,4,,5,,,-,0,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND
NORTH DAKOTA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
CALIFORNIA,2019,5,1,,5,,8,,6,,,-,3,,,-,,-,,-,2,,2,,,-,"CALIFORNIA
(37.640735, -121.002435)",
WISCONSIN,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.395526, -89.834513)",
LOUISIANA,2019,5,,-,1,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WEST VIRGINIA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
TEXAS,2019,5,,-,5,,1,,,-,,-,0,,,-,5,,,-,1,,,-,1,,"TEXAS
(31.827233, -99.423022)",
MISSISSIPPI,2019,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NON-US RESIDENTS,2019,5,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
WEST SOUTH CENTRAL,2019,5,,-,5,,2,,2,,,-,0,,,-,5,,,-,1,,,-,2,,,WEST SOUTH CENTRAL
IOWA,2019,5,,-,2,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
ARIZONA,2019,5,,-,5,,3,,5,,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
EAST NORTH CENTRAL,2019,5,2,,7,,3,,16,,,-,1,,,-,,-,,-,4,,,-,2,,,EAST NORTH CENTRAL
TENNESSEE,2019,5,,-,2,,,-,1,,,-,0,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
OHIO,2019,5,2,,4,,3,,5,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.056807, -82.405897)",
NORTHERN MARIANA ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
HAWAII,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VIRGINIA,2019,5,,-,5,,5,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
GEORGIA,2019,5,,-,5,,,-,4,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
TOTAL,2019,5,8,,53,,67,,116,,1,,9,,8,,7,,1,,18,,16,,6,,,TOTAL
NORTH CAROLINA,2019,5,,-,4,,,-,3,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
VERMONT,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
DISTRICT OF COLUMBIA,2019,5,,-,2,,1,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEW YORK,2019,5,,-,4,,2,,6,,,-,0,,,-,,-,1,,14,,7,,,-,"NEW YORK
(42.826892, -75.544286)",
PUERTO RICO,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
WEST NORTH CENTRAL,2019,5,,-,5,,3,,6,,,-,5,,,-,,-,,-,6,,,-,,-,,WEST NORTH CENTRAL
MARYLAND,2019,5,,-,9,,5,,17,,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WASHINGTON,2019,5,,-,4,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEBRASKA,2019,5,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
WYOMING,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
AMERICAN SAMOA,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA
NEVADA,2019,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.491833, -117.070159)",
NEW YORK CITY,2019,5,1,,11,,11,,11,,,-,9,,7,,,-,,-,2,,3,,,-,,NEW YORK CITY
MOUNTAIN,2019,5,,-,7,,5,,9,,,-,0,,,-,,-,,-,1,,1,,,-,,MOUNTAIN
RHODE ISLAND,2019,5,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MICHIGAN,2019,5,,-,3,,,-,4,,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
MAINE,2019,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
KENTUCKY,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
DELAWARE,2019,5,1,,3,,5,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MONTANA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
PENNSYLVANIA,2019,5,2,,8,,7,,7,,,-,0,,,-,,-,,-,1,,1,,2,,"PENNSYLVANIA
(40.789676, -77.858055)",
U.S. VIRGIN ISLANDS,2019,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
ALABAMA,2019,5,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
MIDDDLE ATLANTIC,2019,5,3,,24,,25,,33,,,-,9,,7,,,-,1,,16,,11,,2,,,MIDDDLE ATLANTIC
MASSACHUSETTS,2019,5,1,,4,,4,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
OREGON,2019,5,,-,2,,,-,1,,1,,2,,1,,2,,,-,1,,2,,,-,"OREGON
(44.567912, -120.156945)",
ARKANSAS,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
OKLAHOMA,2019,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
WEST VIRGINIA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
OREGON,2019,6,,-,2,,,-,1,,,-,2,,2,,2,,,-,1,,2,,,-,"OREGON
(44.567912, -120.156945)",
IDAHO,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(43.680635, -114.364237)",
FLORIDA,2019,6,,-,4,,,-,4,,,-,3,,,-,,-,,-,2,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
WEST SOUTH CENTRAL,2019,6,,-,5,,2,,4,,,-,1,,1,,5,,,-,1,,,-,2,,,WEST SOUTH CENTRAL
KANSAS,2019,6,,-,2,,1,,2,,,-,5,,,-,,-,,-,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
NEW ENGLAND,2019,6,1,,5,,7,,5,,,-,2,,2,,,-,,-,1,,,-,,-,,NEW ENGLAND
NEW YORK CITY,2019,6,1,,11,,14,,12,,,-,9,,7,,,-,,-,2,,4,,,-,,NEW YORK CITY
ARIZONA,2019,6,,-,3,,3,,5,,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
VERMONT,2019,6,,-,1,,1,,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MINNESOTA,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
NEW MEXICO,2019,6,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
NEW YORK,2019,6,1,,4,,3,,6,,1,,0,,1,,,-,4,,14,,11,,,-,"NEW YORK
(42.826892, -75.544286)",
CALIFORNIA,2019,6,,-,5,,8,,6,,,-,3,,,-,,-,,-,2,,2,,,-,"CALIFORNIA
(37.640735, -121.002435)",
NEBRASKA,2019,6,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
SOUTH ATLANTIC,2019,6,5,,21,,33,,40,,,-,3,,,-,,-,,-,3,,,-,,-,,SOUTH ATLANTIC
UTAH,2019,6,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
TEXAS,2019,6,,-,5,,1,,2,,,-,1,,1,,5,,,-,1,,,-,1,,"TEXAS
(31.827233, -99.423022)",
ILLINOIS,2019,6,,-,4,,1,,4,,,-,1,,,-,,-,,-,1,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
EAST NORTH CENTRAL,2019,6,3,,7,,7,,17,,,-,1,,,-,,-,,-,4,,,-,2,,,EAST NORTH CENTRAL
US TERRITORIES,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NORTHERN MARIANA ISLANDS,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WASHINGTON,2019,6,,-,4,,,-,2,,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
LOUISIANA,2019,6,,-,1,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
CONNECTICUT,2019,6,,-,1,,,-,1,,,-,2,,2,,,-,,-,1,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
PUERTO RICO,2019,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
